,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
Address-1,"('Address-586', 6.0)","('Address-1257', 6.0)","('Address-758', 6.32)","('Address-3373', 6.32)","('Address-1466', 6.48)","('Address-4195', 6.48)","('Address-3692', 6.63)","('Address-2880', 6.63)","('Address-3864', 6.63)","('Address-4099', 6.63)"
Address-2,"('Address-397', 6.0)","('Address-3066', 6.48)","('Address-1517', 6.63)","('Address-2471', 6.93)","('Address-3592', 6.93)","('Address-912', 6.93)","('Address-3273', 7.07)","('Address-430', 7.07)","('Address-1083', 7.07)","('Address-2711', 7.07)"
Address-3,"('Address-1274', 5.29)","('Address-454', 5.29)","('Address-1482', 5.29)","('Address-1974', 5.29)","('Address-2122', 5.29)","('Address-996', 5.48)","('Address-1367', 5.48)","('Address-3600', 5.48)","('Address-946', 5.48)","('Address-1450', 5.66)"
Address-4,"('Address-1470', 5.66)","('Address-3445', 5.66)","('Address-845', 5.83)","('Address-2848', 5.83)","('Address-2670', 6.0)","('Address-2312', 6.0)","('Address-1109', 6.0)","('Address-3274', 6.16)","('Address-3887', 6.16)","('Address-96', 6.16)"
Address-5,"('Address-1742', 4.69)","('Address-427', 4.9)","('Address-91', 5.1)","('Address-1975', 5.1)","('Address-2000', 5.1)","('Address-1932', 5.1)","('Address-1854', 5.1)","('Address-630', 5.1)","('Address-3878', 5.1)","('Address-1217', 5.1)"
Address-6,"('Address-1919', 5.66)","('Address-2061', 5.66)","('Address-199', 5.83)","('Address-1411', 5.83)","('Address-525', 6.0)","('Address-2056', 6.0)","('Address-1947', 6.0)","('Address-3080', 6.32)","('Address-3682', 6.32)","('Address-2152', 6.32)"
Address-7,"('Address-194', 6.0)","('Address-2851', 6.32)","('Address-3200', 6.32)","('Address-2686', 6.32)","('Address-885', 6.32)","('Address-3407', 6.48)","('Address-3758', 6.48)","('Address-3096', 6.48)","('Address-1432', 6.63)","('Address-691', 6.63)"
Address-8,"('Address-1735', 5.83)","('Address-900', 5.83)","('Address-1603', 6.0)","('Address-3180', 6.0)","('Address-3673', 6.0)","('Address-3937', 6.0)","('Address-365', 6.0)","('Address-3608', 6.16)","('Address-2201', 6.16)","('Address-436', 6.16)"
Address-9,"('Address-3095', 6.32)","('Address-3357', 6.63)","('Address-2981', 6.63)","('Address-896', 6.78)","('Address-3117', 6.78)","('Address-995', 6.78)","('Address-1225', 6.93)","('Address-3960', 7.07)","('Address-2694', 7.07)","('Address-209', 7.07)"
Address-10,"('Address-3441', 6.0)","('Address-4021', 6.48)","('Address-2238', 6.63)","('Address-77', 6.78)","('Address-3605', 6.78)","('Address-3414', 6.93)","('Address-586', 6.93)","('Address-643', 7.07)","('Address-1623', 7.07)","('Address-1112', 7.07)"
Address-11,"('Address-3023', 4.9)","('Address-4198', 5.48)","('Address-3099', 5.66)","('Address-87', 5.66)","('Address-1476', 5.66)","('Address-1963', 5.83)","('Address-2727', 5.83)","('Address-247', 5.83)","('Address-31', 6.0)","('Address-3112', 6.0)"
Address-12,"('Address-2586', 4.0)","('Address-2793', 5.1)","('Address-2577', 5.1)","('Address-2881', 5.1)","('Address-1239', 5.1)","('Address-661', 5.48)","('Address-1609', 5.48)","('Address-846', 5.48)","('Address-3637', 5.66)","('Address-3688', 5.66)"
Address-13,"('Address-575', 6.16)","('Address-263', 6.16)","('Address-4020', 6.32)","('Address-1501', 6.32)","('Address-2024', 6.32)","('Address-3107', 6.32)","('Address-2817', 6.32)","('Address-1794', 6.32)","('Address-841', 6.32)","('Address-1077', 6.48)"
Address-14,"('Address-2941', 6.0)","('Address-1794', 6.0)","('Address-1952', 6.16)","('Address-2141', 6.32)","('Address-3756', 6.32)","('Address-1374', 6.32)","('Address-940', 6.48)","('Address-1295', 6.48)","('Address-209', 6.48)","('Address-71', 6.48)"
Address-15,"('Address-1481', 6.16)","('Address-364', 6.32)","('Address-3353', 6.48)","('Address-941', 6.48)","('Address-3320', 6.78)","('Address-1788', 6.78)","('Address-4123', 6.93)","('Address-2238', 6.93)","('Address-4170', 6.93)","('Address-3874', 6.93)"
Address-16,"('Address-512', 5.83)","('Address-1118', 6.0)","('Address-2485', 6.16)","('Address-3655', 6.63)","('Address-3974', 6.63)","('Address-1707', 6.78)","('Address-3409', 6.78)","('Address-63', 6.78)","('Address-438', 6.78)","('Address-1898', 6.93)"
Address-17,"('Address-2140', 4.69)","('Address-2129', 5.29)","('Address-690', 5.48)","('Address-3391', 5.66)","('Address-1475', 5.66)","('Address-570', 5.66)","('Address-1129', 6.0)","('Address-1688', 6.0)","('Address-1609', 6.0)","('Address-922', 6.0)"
Address-18,"('Address-3036', 5.29)","('Address-2233', 5.48)","('Address-4207', 5.48)","('Address-846', 5.66)","('Address-598', 5.66)","('Address-2269', 5.66)","('Address-916', 5.83)","('Address-3714', 5.83)","('Address-3278', 5.83)","('Address-133', 5.83)"
Address-19,"('Address-1155', 4.9)","('Address-3155', 5.1)","('Address-1463', 5.1)","('Address-1316', 5.29)","('Address-1384', 5.29)","('Address-3392', 5.48)","('Address-4174', 5.48)","('Address-3525', 5.48)","('Address-3502', 5.48)","('Address-2210', 5.48)"
Address-20,"('Address-2391', 3.16)","('Address-1064', 5.1)","('Address-2876', 5.1)","('Address-3556', 5.1)","('Address-2108', 5.1)","('Address-3213', 5.29)","('Address-3597', 5.48)","('Address-1748', 5.48)","('Address-3996', 5.48)","('Address-1236', 5.48)"
Address-21,"('Address-2641', 6.32)","('Address-3963', 6.32)","('Address-1170', 6.48)","('Address-1737', 6.63)","('Address-1938', 6.63)","('Address-2982', 6.78)","('Address-673', 6.78)","('Address-695', 6.78)","('Address-3852', 6.93)","('Address-1609', 6.93)"
Address-22,"('Address-2559', 6.32)","('Address-3444', 6.48)","('Address-1980', 6.48)","('Address-3406', 6.48)","('Address-1807', 6.48)","('Address-3558', 6.63)","('Address-947', 6.63)","('Address-1403', 6.78)","('Address-3550', 6.78)","('Address-157', 6.78)"
Address-23,"('Address-1326', 5.83)","('Address-982', 6.0)","('Address-1209', 6.16)","('Address-1007', 6.16)","('Address-1160', 6.32)","('Address-4153', 6.32)","('Address-3681', 6.32)","('Address-713', 6.48)","('Address-1130', 6.48)","('Address-2870', 6.48)"
Address-24,"('Address-2310', 5.48)","('Address-97', 5.48)","('Address-1046', 5.66)","('Address-3456', 5.66)","('Address-921', 5.83)","('Address-1711', 6.0)","('Address-1294', 6.0)","('Address-3838', 6.0)","('Address-4096', 6.16)","('Address-3823', 6.16)"
Address-25,"('Address-1741', 6.32)","('Address-669', 6.78)","('Address-1047', 6.78)","('Address-2767', 6.93)","('Address-1915', 6.93)","('Address-2043', 6.93)","('Address-405', 6.93)","('Address-3002', 7.07)","('Address-3808', 7.07)","('Address-2602', 7.07)"
Address-26,"('Address-2004', 6.32)","('Address-1176', 7.21)","('Address-538', 7.21)","('Address-3369', 7.35)","('Address-3590', 7.48)","('Address-2591', 7.48)","('Address-1922', 7.62)","('Address-338', 7.62)","('Address-3300', 7.75)","('Address-2218', 7.75)"
