,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
City-1,"('City-22', 3.16)","('City-219', 3.74)","('City-148', 4.0)","('City-60', 4.0)","('City-57', 4.0)","('City-150', 4.24)","('City-173', 4.24)","('City-108', 4.24)","('City-134', 4.24)","('City-178', 4.24)"
City-2,"('City-58', 3.16)","('City-173', 3.46)","('City-86', 3.46)","('City-49', 3.46)","('City-227', 3.74)","('City-60', 3.74)","('City-132', 3.74)","('City-179', 4.0)","('City-32', 4.0)","('City-150', 4.0)"
City-3,"('City-28', 3.46)","('City-54', 3.74)","('City-149', 4.0)","('City-17', 4.0)","('City-195', 4.24)","('City-93', 4.24)","('City-65', 4.47)","('City-157', 4.47)","('City-189', 4.69)","('City-29', 4.69)"
City-4,"('City-50', 3.74)","('City-78', 3.74)","('City-60', 3.74)","('City-205', 4.24)","('City-19', 4.24)","('City-187', 4.24)","('City-63', 4.24)","('City-150', 4.24)","('City-26', 4.24)","('City-223', 4.24)"
City-5,"('City-186', 3.16)","('City-229', 3.46)","('City-60', 3.46)","('City-26', 3.46)","('City-19', 3.46)","('City-58', 3.46)","('City-189', 3.46)","('City-191', 3.46)","('City-32', 3.46)","('City-100', 3.46)"
City-6,"('City-202', 2.83)","('City-60', 2.83)","('City-55', 2.83)","('City-220', 3.16)","('City-99', 3.16)","('City-186', 3.16)","('City-22', 3.46)","('City-91', 3.46)","('City-133', 3.46)","('City-189', 3.46)"
City-7,"('City-68', 3.74)","('City-155', 4.0)","('City-15', 4.0)","('City-100', 4.0)","('City-19', 4.0)","('City-229', 4.0)","('City-18', 4.24)","('City-20', 4.24)","('City-138', 4.24)","('City-44', 4.24)"
City-8,"('City-188', 3.46)","('City-63', 3.46)","('City-229', 3.46)","('City-19', 3.46)","('City-54', 3.46)","('City-157', 3.74)","('City-18', 3.74)","('City-142', 3.74)","('City-76', 3.74)","('City-169', 3.74)"
City-9,"('City-6', 3.74)","('City-194', 4.0)","('City-77', 4.24)","('City-202', 4.24)","('City-211', 4.47)","('City-60', 4.47)","('City-221', 4.47)","('City-100', 4.47)","('City-116', 4.47)","('City-99', 4.47)"
City-10,"('City-35', 2.0)","('City-219', 3.16)","('City-174', 3.46)","('City-209', 3.46)","('City-94', 3.46)","('City-137', 3.46)","('City-199', 3.74)","('City-144', 3.74)","('City-154', 3.74)","('City-57', 3.74)"
City-11,"('City-161', 2.83)","('City-185', 3.16)","('City-222', 3.16)","('City-67', 3.16)","('City-45', 3.46)","('City-150', 3.46)","('City-174', 3.74)","('City-165', 3.74)","('City-22', 3.74)","('City-26', 3.74)"
City-12,"('City-74', 2.83)","('City-156', 2.83)","('City-55', 3.16)","('City-174', 3.16)","('City-91', 3.16)","('City-161', 3.46)","('City-100', 3.46)","('City-37', 3.46)","('City-145', 3.46)","('City-26', 3.46)"
City-13,"('City-100', 3.74)","('City-77', 4.24)","('City-24', 4.24)","('City-70', 4.24)","('City-190', 4.24)","('City-186', 4.24)","('City-199', 4.24)","('City-159', 4.24)","('City-155', 4.24)","('City-102', 4.24)"
City-14,"('City-75', 4.0)","('City-128', 4.0)","('City-15', 4.24)","('City-212', 4.24)","('City-25', 4.24)","('City-26', 4.24)","('City-189', 4.24)","('City-186', 4.24)","('City-116', 4.24)","('City-5', 4.24)"
City-15,"('City-191', 3.16)","('City-142', 3.16)","('City-45', 3.16)","('City-100', 3.16)","('City-186', 3.46)","('City-68', 3.46)","('City-189', 3.46)","('City-29', 3.46)","('City-195', 3.46)","('City-227', 3.46)"
City-16,"('City-32', 3.46)","('City-26', 3.74)","('City-138', 3.74)","('City-132', 3.74)","('City-54', 4.0)","('City-12', 4.0)","('City-125', 4.0)","('City-108', 4.0)","('City-173', 4.0)","('City-58', 4.0)"
City-17,"('City-28', 3.74)","('City-3', 4.0)","('City-18', 4.0)","('City-217', 4.24)","('City-93', 4.24)","('City-54', 4.24)","('City-22', 4.24)","('City-148', 4.24)","('City-66', 4.24)","('City-65', 4.47)"
City-18,"('City-19', 3.16)","('City-229', 3.16)","('City-22', 3.16)","('City-45', 3.46)","('City-54', 3.46)","('City-122', 3.46)","('City-148', 3.46)","('City-34', 3.74)","('City-174', 3.74)","('City-82', 3.74)"
City-19,"('City-229', 2.0)","('City-26', 2.83)","('City-63', 3.16)","('City-18', 3.16)","('City-100', 3.16)","('City-8', 3.46)","('City-5', 3.46)","('City-138', 3.46)","('City-157', 3.46)","('City-54', 3.46)"
