,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
County-1,"('County-13', 3.46)","('County-41', 3.46)","('County-19', 3.46)","('County-29', 4.0)","('County-30', 4.0)","('County-10', 4.0)","('County-26', 4.0)","('County-7', 4.0)","('County-11', 4.0)","('County-37', 4.0)"
County-2,"('County-15', 4.0)","('County-40', 4.0)","('County-22', 4.24)","('County-8', 4.24)","('County-34', 4.47)","('County-36', 4.47)","('County-20', 4.47)","('County-33', 4.47)","('County-10', 4.47)","('County-11', 4.47)"
County-3,"('County-37', 3.74)","('County-24', 3.74)","('County-6', 4.0)","('County-15', 4.0)","('County-19', 4.0)","('County-34', 4.0)","('County-13', 4.24)","('County-16', 4.47)","('County-29', 4.47)","('County-27', 4.47)"
County-4,"('County-10', 3.74)","('County-15', 4.24)","('County-3', 4.47)","('County-33', 4.47)","('County-37', 4.69)","('County-29', 4.69)","('County-24', 4.69)","('County-40', 4.69)","('County-5', 4.9)","('County-13', 4.9)"
County-5,"('County-15', 3.74)","('County-33', 4.0)","('County-10', 4.0)","('County-26', 4.0)","('County-24', 4.0)","('County-19', 4.0)","('County-14', 4.24)","('County-37', 4.24)","('County-29', 4.24)","('County-34', 4.24)"
County-6,"('County-34', 3.16)","('County-14', 3.46)","('County-16', 3.74)","('County-15', 3.74)","('County-27', 3.74)","('County-37', 4.0)","('County-19', 4.0)","('County-3', 4.0)","('County-20', 4.24)","('County-33', 4.24)"
County-7,"('County-1', 4.0)","('County-11', 4.24)","('County-10', 4.24)","('County-41', 4.47)","('County-9', 4.69)","('County-30', 4.69)","('County-19', 4.69)","('County-29', 4.69)","('County-13', 4.69)","('County-33', 4.69)"
County-8,"('County-22', 3.46)","('County-33', 3.74)","('County-10', 3.74)","('County-35', 4.0)","('County-27', 4.0)","('County-9', 4.0)","('County-34', 4.0)","('County-14', 4.24)","('County-15', 4.24)","('County-19', 4.24)"
County-9,"('County-28', 3.16)","('County-32', 3.46)","('County-11', 3.46)","('County-33', 3.74)","('County-19', 3.74)","('County-30', 3.74)","('County-10', 3.74)","('County-23', 3.74)","('County-41', 4.0)","('County-29', 4.0)"
County-10,"('County-33', 3.46)","('County-8', 3.74)","('County-29', 3.74)","('County-11', 3.74)","('County-9', 3.74)","('County-15', 3.74)","('County-41', 3.74)","('County-4', 3.74)","('County-22', 3.74)","('County-19', 4.0)"
County-11,"('County-13', 3.46)","('County-9', 3.46)","('County-19', 3.46)","('County-10', 3.74)","('County-41', 4.0)","('County-33', 4.0)","('County-1', 4.0)","('County-37', 4.0)","('County-35', 4.24)","('County-29', 4.24)"
County-12,"('County-14', 4.69)","('County-10', 4.9)","('County-29', 4.9)","('County-33', 4.9)","('County-18', 4.9)","('County-35', 5.1)","('County-26', 5.1)","('County-9', 5.1)","('County-37', 5.29)","('County-5', 5.29)"
County-13,"('County-11', 3.46)","('County-19', 3.46)","('County-1', 3.46)","('County-41', 3.74)","('County-37', 3.74)","('County-29', 4.0)","('County-26', 4.0)","('County-24', 4.0)","('County-33', 4.24)","('County-30', 4.24)"
County-14,"('County-33', 2.83)","('County-34', 2.83)","('County-6', 3.46)","('County-16', 3.46)","('County-36', 3.74)","('County-19', 3.74)","('County-29', 3.74)","('County-35', 3.74)","('County-37', 3.74)","('County-20', 4.0)"
County-15,"('County-33', 3.46)","('County-24', 3.74)","('County-34', 3.74)","('County-20', 3.74)","('County-10', 3.74)","('County-37', 3.74)","('County-5', 3.74)","('County-6', 3.74)","('County-29', 3.74)","('County-19', 3.74)"
County-16,"('County-34', 2.0)","('County-27', 2.83)","('County-35', 3.46)","('County-14', 3.46)","('County-19', 3.74)","('County-31', 3.74)","('County-33', 3.74)","('County-6', 3.74)","('County-20', 4.0)","('County-15', 4.24)"
County-17,"('County-38', 3.46)","('County-34', 3.74)","('County-14', 4.0)","('County-10', 4.0)","('County-33', 4.0)","('County-16', 4.24)","('County-29', 4.24)","('County-8', 4.24)","('County-41', 4.47)","('County-15', 4.47)"
County-18,"('County-20', 4.24)","('County-9', 4.24)","('County-39', 4.47)","('County-35', 4.47)","('County-33', 4.47)","('County-8', 4.47)","('County-14', 4.69)","('County-15', 4.69)","('County-10', 4.69)","('County-19', 4.9)"
County-19,"('County-37', 2.83)","('County-34', 3.46)","('County-13', 3.46)","('County-11', 3.46)","('County-1', 3.46)","('County-29', 3.46)","('County-41', 3.46)","('County-24', 3.46)","('County-28', 3.74)","('County-33', 3.74)"
County-20,"('County-15', 3.74)","('County-19', 3.74)","('County-14', 4.0)","('County-16', 4.0)","('County-37', 4.0)","('County-27', 4.0)","('County-34', 4.0)","('County-33', 4.24)","('County-36', 4.24)","('County-18', 4.24)"
County-21,"('County-15', 4.24)","('County-34', 4.47)","('County-6', 4.47)","('County-5', 4.47)","('County-42', 4.47)","('County-19', 4.69)","('County-3', 4.69)","('County-13', 4.69)","('County-29', 4.9)","('County-24', 4.9)"
County-22,"('County-8', 3.46)","('County-10', 3.74)","('County-15', 4.24)","('County-34', 4.24)","('County-2', 4.24)","('County-33', 4.24)","('County-38', 4.47)","('County-17', 4.47)","('County-14', 4.47)","('County-20', 4.47)"
County-23,"('County-9', 3.74)","('County-33', 4.0)","('County-29', 4.24)","('County-15', 4.24)","('County-14', 4.24)","('County-35', 4.47)","('County-28', 4.47)","('County-19', 4.47)","('County-34', 4.47)","('County-11', 4.47)"
County-24,"('County-37', 3.16)","('County-29', 3.16)","('County-19', 3.46)","('County-41', 3.74)","('County-3', 3.74)","('County-15', 3.74)","('County-26', 4.0)","('County-14', 4.0)","('County-13', 4.0)","('County-5', 4.0)"
County-25,"('County-41', 4.47)","('County-1', 4.47)","('County-10', 4.47)","('County-13', 4.69)","('County-30', 4.69)","('County-5', 4.69)","('County-19', 4.69)","('County-33', 4.9)","('County-15', 4.9)","('County-26', 4.9)"
County-26,"('County-41', 3.46)","('County-19', 3.74)","('County-13', 4.0)","('County-37', 4.0)","('County-24', 4.0)","('County-1', 4.0)","('County-29', 4.0)","('County-5', 4.0)","('County-9', 4.24)","('County-33', 4.24)"
County-27,"('County-31', 2.83)","('County-16', 2.83)","('County-34', 3.16)","('County-35', 3.74)","('County-19', 3.74)","('County-6', 3.74)","('County-20', 4.0)","('County-8', 4.0)","('County-38', 4.0)","('County-14', 4.0)"
