,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
DL-1,"('DL-829', 3.46)","('DL-3049', 3.74)","('DL-3608', 3.74)","('DL-3335', 3.74)","('DL-921', 3.74)","('DL-2000', 3.74)","('DL-4232', 3.74)","('DL-3066', 4.0)","('DL-1361', 4.0)","('DL-85', 4.0)"
DL-2,"('DL-1914', 3.74)","('DL-523', 4.0)","('DL-484', 4.0)","('DL-2950', 4.0)","('DL-3829', 4.24)","('DL-1724', 4.24)","('DL-1717', 4.24)","('DL-3302', 4.24)","('DL-2546', 4.24)","('DL-1758', 4.24)"
DL-3,"('DL-4320', 3.74)","('DL-1392', 3.74)","('DL-3427', 3.74)","('DL-3182', 3.74)","('DL-4312', 4.0)","('DL-4188', 4.0)","('DL-2206', 4.0)","('DL-1721', 4.0)","('DL-1655', 4.0)","('DL-150', 4.24)"
DL-4,"('DL-710', 3.46)","('DL-2090', 4.0)","('DL-110', 4.0)","('DL-3846', 4.0)","('DL-3661', 4.0)","('DL-340', 4.0)","('DL-3351', 4.0)","('DL-2033', 4.0)","('DL-1016', 4.0)","('DL-1624', 4.0)"
DL-5,"('DL-3765', 3.74)","('DL-480', 4.0)","('DL-3882', 4.0)","('DL-1808', 4.0)","('DL-2601', 4.24)","('DL-818', 4.24)","('DL-253', 4.24)","('DL-2650', 4.24)","('DL-811', 4.24)","('DL-3943', 4.24)"
DL-6,"('DL-3562', 4.0)","('DL-1007', 4.0)","('DL-1491', 4.24)","('DL-409', 4.24)","('DL-2585', 4.24)","('DL-1037', 4.24)","('DL-2688', 4.24)","('DL-1217', 4.24)","('DL-3395', 4.24)","('DL-3463', 4.24)"
DL-7,"('DL-655', 3.74)","('DL-106', 3.74)","('DL-2519', 3.74)","('DL-1848', 3.74)","('DL-3520', 3.74)","('DL-2818', 3.74)","('DL-685', 4.0)","('DL-1489', 4.0)","('DL-1999', 4.0)","('DL-2673', 4.0)"
DL-8,"('DL-2958', 3.46)","('DL-3808', 3.74)","('DL-220', 4.0)","('DL-712', 4.0)","('DL-2246', 4.0)","('DL-1928', 4.0)","('DL-4184', 4.0)","('DL-710', 4.0)","('DL-4160', 4.0)","('DL-3498', 4.0)"
DL-9,"('DL-282', 4.0)","('DL-2905', 4.0)","('DL-2562', 4.0)","('DL-1130', 4.0)","('DL-554', 4.0)","('DL-691', 4.0)","('DL-2350', 4.0)","('DL-4335', 4.0)","('DL-707', 4.24)","('DL-142', 4.24)"
DL-10,"('DL-1332', 3.46)","('DL-4325', 3.74)","('DL-82', 3.74)","('DL-32', 4.0)","('DL-805', 4.0)","('DL-2784', 4.0)","('DL-766', 4.0)","('DL-1883', 4.0)","('DL-4237', 4.0)","('DL-2666', 4.0)"
DL-11,"('DL-685', 3.46)","('DL-1653', 3.46)","('DL-3665', 3.74)","('DL-263', 3.74)","('DL-535', 3.74)","('DL-17', 3.74)","('DL-2099', 4.0)","('DL-785', 4.0)","('DL-653', 4.0)","('DL-339', 4.0)"
DL-12,"('DL-1178', 3.74)","('DL-1890', 4.0)","('DL-940', 4.0)","('DL-1462', 4.0)","('DL-866', 4.0)","('DL-995', 4.0)","('DL-489', 4.0)","('DL-2129', 4.0)","('DL-1839', 4.0)","('DL-1860', 4.0)"
DL-13,"('DL-23', 3.46)","('DL-4038', 3.74)","('DL-643', 4.0)","('DL-172', 4.0)","('DL-1235', 4.0)","('DL-2578', 4.0)","('DL-554', 4.0)","('DL-2613', 4.0)","('DL-3296', 4.0)","('DL-3364', 4.0)"
DL-14,"('DL-1518', 4.0)","('DL-3269', 4.0)","('DL-2909', 4.0)","('DL-2870', 4.0)","('DL-1622', 4.0)","('DL-1465', 4.0)","('DL-3683', 4.0)","('DL-1134', 4.0)","('DL-1500', 4.24)","('DL-1890', 4.24)"
DL-15,"('DL-2099', 3.16)","('DL-53', 3.46)","('DL-3074', 3.74)","('DL-1653', 3.74)","('DL-3793', 4.0)","('DL-11', 4.0)","('DL-3389', 4.0)","('DL-607', 4.0)","('DL-3358', 4.0)","('DL-2843', 4.0)"
