,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
FN-1576,"('FN-1524', 2.45)","('FN-684', 2.45)","('FN-35', 2.83)","('FN-841', 2.83)","('FN-1046', 2.83)","('FN-408', 3.16)","('FN-1767', 3.16)","('FN-662', 3.16)","('FN-365', 3.16)","('FN-1386', 3.16)"
FN-1606,"('FN-383', 2.45)","('FN-598', 2.83)","('FN-588', 2.83)","('FN-1533', 2.83)","('FN-387', 2.83)","('FN-1687', 2.83)","('FN-872', 2.83)","('FN-1264', 2.83)","('FN-1724', 2.83)","('FN-329', 2.83)"
FN-1682,"('FN-1162', 2.83)","('FN-299', 2.83)","('FN-149', 2.83)","('FN-821', 2.83)","('FN-738', 2.83)","('FN-183', 3.16)","('FN-1323', 3.16)","('FN-1657', 3.16)","('FN-1448', 3.16)","('FN-270', 3.16)"
FN-1658,"('FN-1049', 3.16)","('FN-422', 3.16)","('FN-1351', 3.16)","('FN-1739', 3.16)","('FN-1675', 3.16)","('FN-234', 3.16)","('FN-1386', 3.16)","('FN-371', 3.16)","('FN-1147', 3.16)","('FN-179', 3.46)"
FN-1409,"('FN-398', 2.0)","('FN-1620', 2.45)","('FN-483', 2.45)","('FN-891', 2.45)","('FN-1669', 2.83)","('FN-882', 2.83)","('FN-371', 2.83)","('FN-832', 2.83)","('FN-1091', 2.83)","('FN-1208', 2.83)"
FN-1427,"('FN-74', 2.83)","('FN-714', 3.16)","('FN-700', 3.46)","('FN-1099', 3.46)","('FN-542', 3.46)","('FN-1136', 3.46)","('FN-990', 3.46)","('FN-15', 3.46)","('FN-1704', 3.46)","('FN-1014', 3.46)"
FN-995,"('FN-1269', 3.16)","('FN-23', 3.16)","('FN-259', 3.16)","('FN-230', 3.46)","('FN-652', 3.46)","('FN-1112', 3.46)","('FN-935', 3.46)","('FN-1691', 3.46)","('FN-1679', 3.46)","('FN-623', 3.46)"
FN-778,"('FN-494', 2.83)","('FN-198', 3.16)","('FN-1380', 3.16)","('FN-153', 3.16)","('FN-1125', 3.16)","('FN-1757', 3.16)","('FN-8', 3.16)","('FN-947', 3.16)","('FN-466', 3.46)","('FN-1522', 3.46)"
FN-978,"('FN-1643', 2.83)","('FN-495', 3.16)","('FN-575', 3.16)","('FN-1256', 3.16)","('FN-988', 3.16)","('FN-1197', 3.16)","('FN-1035', 3.16)","('FN-330', 3.16)","('FN-926', 3.16)","('FN-175', 3.16)"
FN-688,"('FN-1187', 3.16)","('FN-1136', 3.16)","('FN-925', 3.16)","('FN-497', 3.16)","('FN-1098', 3.46)","('FN-257', 3.46)","('FN-1640', 3.46)","('FN-1299', 3.46)","('FN-438', 3.46)","('FN-297', 3.46)"
FN-165,"('FN-960', 1.41)","('FN-862', 2.45)","('FN-923', 2.83)","('FN-1220', 3.16)","('FN-1037', 3.16)","('FN-1048', 3.46)","('FN-1438', 3.46)","('FN-404', 3.46)","('FN-1066', 3.46)","('FN-1348', 3.46)"
FN-1672,"('FN-903', 2.45)","('FN-961', 2.83)","('FN-1079', 3.16)","('FN-1012', 3.16)","('FN-1520', 3.16)","('FN-999', 3.16)","('FN-817', 3.16)","('FN-710', 3.16)","('FN-1286', 3.46)","('FN-1644', 3.46)"
FN-1149,"('FN-1657', 2.83)","('FN-1224', 2.83)","('FN-253', 2.83)","('FN-1731', 2.83)","('FN-1406', 2.83)","('FN-632', 2.83)","('FN-832', 2.83)","('FN-1613', 2.83)","('FN-891', 2.83)","('FN-646', 2.83)"
