,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
LN-2850,"('LN-1276', 2.45)","('LN-2788', 2.45)","('LN-2638', 2.83)","('LN-3027', 2.83)","('LN-996', 2.83)","('LN-1726', 2.83)","('LN-1489', 2.83)","('LN-1572', 2.83)","('LN-42', 2.83)","('LN-2601', 3.16)"
LN-2797,"('LN-1489', 3.46)","('LN-3232', 3.46)","('LN-3046', 3.74)","('LN-1251', 3.74)","('LN-834', 3.74)","('LN-2382', 3.74)","('LN-2850', 3.74)","('LN-1276', 3.74)","('LN-2851', 3.74)","('LN-1317', 4.0)"
LN-2205,"('LN-583', 2.45)","('LN-1215', 2.83)","('LN-708', 3.16)","('LN-537', 3.16)","('LN-2640', 3.16)","('LN-1250', 3.16)","('LN-3258', 3.46)","('LN-2504', 3.46)","('LN-148', 3.46)","('LN-466', 3.46)"
LN-482,"('LN-1378', 2.45)","('LN-2653', 2.83)","('LN-3182', 2.83)","('LN-1626', 2.83)","('LN-1489', 2.83)","('LN-1633', 2.83)","('LN-479', 2.83)","('LN-63', 3.16)","('LN-2504', 3.16)","('LN-1658', 3.16)"
LN-1533,"('LN-435', 2.0)","('LN-1604', 2.45)","('LN-2870', 2.45)","('LN-3319', 2.45)","('LN-3290', 2.45)","('LN-2055', 2.83)","('LN-527', 2.83)","('LN-2637', 2.83)","('LN-2672', 2.83)","('LN-1382', 2.83)"
LN-1455,"('LN-928', 2.45)","('LN-1666', 2.83)","('LN-1517', 2.83)","('LN-842', 2.83)","('LN-1700', 2.83)","('LN-2788', 2.83)","('LN-1598', 2.83)","('LN-3104', 2.83)","('LN-90', 2.83)","('LN-2184', 2.83)"
LN-1022,"('LN-669', 3.16)","('LN-3015', 3.16)","('LN-2984', 3.16)","('LN-1623', 3.16)","('LN-539', 3.46)","('LN-1479', 3.46)","('LN-2740', 3.46)","('LN-1495', 3.46)","('LN-2906', 3.46)","('LN-2792', 3.46)"
LN-3093,"('LN-1981', 2.0)","('LN-435', 2.83)","('LN-1374', 2.83)","('LN-495', 2.83)","('LN-1799', 2.83)","('LN-128', 2.83)","('LN-440', 2.83)","('LN-3066', 2.83)","('LN-490', 3.16)","('LN-611', 3.16)"
LN-2548,"('LN-983', 2.83)","('LN-541', 3.16)","('LN-660', 3.16)","('LN-2357', 3.16)","('LN-2269', 3.16)","('LN-1943', 3.46)","('LN-510', 3.46)","('LN-2507', 3.46)","('LN-512', 3.46)","('LN-3113', 3.46)"
LN-1453,"('LN-3104', 2.45)","('LN-2184', 2.83)","('LN-409', 3.16)","('LN-1050', 3.16)","('LN-709', 3.16)","('LN-546', 3.16)","('LN-1671', 3.16)","('LN-3067', 3.16)","('LN-3155', 3.16)","('LN-2461', 3.16)"
LN-881,"('LN-1322', 2.83)","('LN-711', 3.16)","('LN-1348', 3.16)","('LN-611', 3.16)","('LN-2637', 3.46)","('LN-3072', 3.46)","('LN-495', 3.46)","('LN-1786', 3.46)","('LN-1834', 3.46)","('LN-2597', 3.46)"
LN-2251,"('LN-3304', 3.16)","('LN-2220', 3.16)","('LN-1734', 3.16)","('LN-979', 3.46)","('LN-3028', 3.46)","('LN-2088', 3.46)","('LN-3033', 3.74)","('LN-3339', 3.74)","('LN-376', 3.74)","('LN-1384', 3.74)"
LN-2734,"('LN-1686', 2.45)","('LN-3236', 2.83)","('LN-586', 2.83)","('LN-1622', 2.83)","('LN-2488', 2.83)","('LN-1919', 2.83)","('LN-687', 2.83)","('LN-213', 2.83)","('LN-349', 2.83)","('LN-81', 2.83)"
LN-2723,"('LN-2282', 2.83)","('LN-63', 3.16)","('LN-3362', 3.16)","('LN-1004', 3.46)","('LN-2187', 3.46)","('LN-1200', 3.46)","('LN-620', 3.46)","('LN-2984', 3.46)","('LN-1465', 3.46)","('LN-981', 3.46)"
LN-521,"('LN-2529', 2.83)","('LN-782', 3.16)","('LN-1069', 3.16)","('LN-2552', 3.16)","('LN-1971', 3.46)","('LN-2241', 3.46)","('LN-3027', 3.46)","('LN-2540', 3.46)","('LN-1285', 3.46)","('LN-361', 3.74)"
LN-1685,"('LN-1500', 2.45)","('LN-2823', 2.83)","('LN-1120', 2.83)","('LN-3339', 3.16)","('LN-2848', 3.16)","('LN-1646', 3.16)","('LN-1679', 3.16)","('LN-812', 3.16)","('LN-3154', 3.16)","('LN-1384', 3.16)"
LN-50,"('LN-670', 3.16)","('LN-1511', 3.16)","('LN-683', 3.46)","('LN-2739', 3.46)","('LN-199', 3.46)","('LN-2669', 3.46)","('LN-2375', 3.46)","('LN-366', 3.46)","('LN-2002', 3.46)","('LN-801', 3.46)"
LN-1228,"('LN-92', 3.16)","('LN-3416', 3.16)","('LN-534', 3.16)","('LN-330', 3.16)","('LN-1732', 3.16)","('LN-526', 3.16)","('LN-2860', 3.16)","('LN-1606', 3.16)","('LN-3423', 3.16)","('LN-1811', 3.16)"
LN-1326,"('LN-188', 3.16)","('LN-2631', 3.16)","('LN-1010', 3.16)","('LN-2462', 3.16)","('LN-1593', 3.16)","('LN-1868', 3.16)","('LN-2397', 3.16)","('LN-2795', 3.16)","('LN-1619', 3.16)","('LN-61', 3.16)"
LN-1395,"('LN-114', 3.74)","('LN-2856', 4.0)","('LN-2607', 4.0)","('LN-906', 4.0)","('LN-1882', 4.0)","('LN-15', 4.0)","('LN-3261', 4.0)","('LN-2940', 4.0)","('LN-621', 4.24)","('LN-2651', 4.24)"
LN-2963,"('LN-321', 2.45)","('LN-1573', 2.83)","('LN-1294', 2.83)","('LN-2897', 2.83)","('LN-2875', 2.83)","('LN-1965', 2.83)","('LN-1896', 2.83)","('LN-2693', 2.83)","('LN-1517', 3.16)","('LN-2637', 3.16)"
LN-3017,"('LN-1667', 2.83)","('LN-1503', 3.16)","('LN-1979', 3.16)","('LN-1435', 3.16)","('LN-2087', 3.46)","('LN-75', 3.46)","('LN-1432', 3.46)","('LN-695', 3.46)","('LN-1414', 3.46)","('LN-3111', 3.46)"
LN-1615,"('LN-2200', 2.0)","('LN-1192', 2.45)","('LN-1393', 2.45)","('LN-2276', 2.83)","('LN-1756', 2.83)","('LN-278', 2.83)","('LN-2739', 3.16)","('LN-3335', 3.16)","('LN-3297', 3.16)","('LN-3054', 3.16)"
LN-2013,"('LN-3025', 2.83)","('LN-1431', 3.16)","('LN-1795', 3.16)","('LN-752', 3.16)","('LN-3311', 3.16)","('LN-1657', 3.16)","('LN-1958', 3.16)","('LN-390', 3.46)","('LN-1351', 3.46)","('LN-818', 3.46)"
LN-771,"('LN-890', 2.45)","('LN-2897', 2.83)","('LN-699', 2.83)","('LN-1867', 2.83)","('LN-2637', 2.83)","('LN-396', 2.83)","('LN-1213', 2.83)","('LN-2928', 2.83)","('LN-960', 2.83)","('LN-2552', 2.83)"
LN-1071,"('LN-2838', 2.45)","('LN-2093', 2.83)","('LN-46', 2.83)","('LN-2392', 3.16)","('LN-2688', 3.46)","('LN-1390', 3.46)","('LN-1979', 3.46)","('LN-957', 3.46)","('LN-3039', 3.46)","('LN-1712', 3.46)"
LN-3114,"('LN-2077', 2.0)","('LN-820', 2.83)","('LN-534', 2.83)","('LN-581', 2.83)","('LN-1280', 2.83)","('LN-778', 2.83)","('LN-307', 3.16)","('LN-910', 3.16)","('LN-413', 3.16)","('LN-1445', 3.16)"
LN-1657,"('LN-1764', 2.45)","('LN-666', 2.83)","('LN-795', 2.83)","('LN-1633', 2.83)","('LN-2291', 2.83)","('LN-2745', 2.83)","('LN-2464', 2.83)","('LN-765', 2.83)","('LN-938', 2.83)","('LN-151', 2.83)"
LN-2497,"('LN-2182', 3.16)","('LN-1381', 3.16)","('LN-10', 3.16)","('LN-1036', 3.16)","('LN-1686', 3.46)","('LN-2460', 3.46)","('LN-567', 3.46)","('LN-3072', 3.46)","('LN-490', 3.46)","('LN-1094', 3.46)"
LN-1597,"('LN-777', 2.45)","('LN-2983', 2.83)","('LN-1382', 3.16)","('LN-2440', 3.16)","('LN-2275', 3.16)","('LN-2306', 3.16)","('LN-2637', 3.16)","('LN-2649', 3.16)","('LN-213', 3.16)","('LN-1843', 3.16)"
LN-625,"('LN-94', 2.45)","('LN-1284', 3.46)","('LN-413', 3.74)","('LN-1514', 3.74)","('LN-2011', 3.74)","('LN-1002', 3.74)","('LN-3221', 4.0)","('LN-327', 4.0)","('LN-2015', 4.0)","('LN-1754', 4.0)"
LN-2005,"('LN-3171', 2.83)","('LN-1069', 2.83)","('LN-1496', 2.83)","('LN-44', 3.16)","('LN-964', 3.16)","('LN-2854', 3.16)","('LN-2700', 3.16)","('LN-3057', 3.16)","('LN-1100', 3.16)","('LN-959', 3.16)"
