,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
SSN-1,"('SSN-972', 1.41)","('SSN-2392', 1.41)","('SSN-970', 2.0)","('SSN-2587', 2.0)","('SSN-513', 2.0)","('SSN-3021', 2.0)","('SSN-736', 2.0)","('SSN-1830', 2.0)","('SSN-2618', 2.0)","('SSN-2293', 2.0)"
SSN-2,"('SSN-453', 1.41)","('SSN-61', 1.41)","('SSN-1419', 2.0)","('SSN-2222', 2.0)","('SSN-1561', 2.0)","('SSN-2873', 2.0)","('SSN-3245', 2.0)","('SSN-3022', 2.0)","('SSN-3183', 2.0)","('SSN-510', 2.0)"
SSN-3,"('SSN-3407', 1.41)","('SSN-3335', 2.0)","('SSN-1899', 2.0)","('SSN-1990', 2.0)","('SSN-2745', 2.0)","('SSN-1624', 2.0)","('SSN-598', 2.0)","('SSN-1699', 2.0)","('SSN-944', 2.0)","('SSN-2866', 2.0)"
SSN-4,"('SSN-14', 1.41)","('SSN-3029', 2.0)","('SSN-417', 2.0)","('SSN-1853', 2.0)","('SSN-548', 2.0)","('SSN-295', 2.0)","('SSN-2098', 2.0)","('SSN-2832', 2.0)","('SSN-1866', 2.0)","('SSN-451', 2.0)"
SSN-5,"('SSN-1124', 1.41)","('SSN-1522', 1.41)","('SSN-2319', 1.41)","('SSN-859', 2.0)","('SSN-1958', 2.0)","('SSN-854', 2.0)","('SSN-26', 2.0)","('SSN-861', 2.0)","('SSN-622', 2.0)","('SSN-3150', 2.0)"
SSN-6,"('SSN-623', 1.41)","('SSN-596', 1.41)","('SSN-386', 1.41)","('SSN-1615', 1.41)","('SSN-1206', 1.41)","('SSN-2414', 1.41)","('SSN-2238', 1.41)","('SSN-865', 1.41)","('SSN-455', 1.41)","('SSN-2547', 2.0)"
SSN-7,"('SSN-688', 1.41)","('SSN-545', 2.0)","('SSN-2838', 2.0)","('SSN-1799', 2.0)","('SSN-494', 2.0)","('SSN-23', 2.0)","('SSN-1377', 2.0)","('SSN-2318', 2.0)","('SSN-791', 2.0)","('SSN-866', 2.0)"
SSN-8,"('SSN-1744', 1.41)","('SSN-3259', 1.41)","('SSN-104', 1.41)","('SSN-1407', 2.0)","('SSN-870', 2.0)","('SSN-1863', 2.0)","('SSN-581', 2.0)","('SSN-817', 2.0)","('SSN-704', 2.0)","('SSN-957', 2.0)"
SSN-9,"('SSN-151', 1.41)","('SSN-1582', 1.41)","('SSN-3290', 1.41)","('SSN-1340', 1.41)","('SSN-464', 1.41)","('SSN-348', 1.41)","('SSN-328', 1.41)","('SSN-1887', 1.41)","('SSN-149', 1.41)","('SSN-2572', 1.41)"
SSN-10,"('SSN-3389', 1.41)","('SSN-1316', 1.41)","('SSN-1563', 1.41)","('SSN-703', 1.41)","('SSN-3360', 2.0)","('SSN-371', 2.0)","('SSN-2266', 2.0)","('SSN-501', 2.0)","('SSN-2794', 2.0)","('SSN-1412', 2.0)"
SSN-11,"('SSN-1322', 2.0)","('SSN-1352', 2.0)","('SSN-1636', 2.0)","('SSN-1934', 2.0)","('SSN-2667', 2.0)","('SSN-1102', 2.0)","('SSN-3305', 2.0)","('SSN-1073', 2.0)","('SSN-2677', 2.0)","('SSN-1020', 2.0)"
SSN-12,"('SSN-1813', 1.41)","('SSN-1133', 1.41)","('SSN-1841', 1.41)","('SSN-1471', 2.0)","('SSN-2064', 2.0)","('SSN-895', 2.0)","('SSN-2938', 2.0)","('SSN-1599', 2.0)","('SSN-24', 2.0)","('SSN-2957', 2.0)"
SSN-13,"('SSN-3248', 1.41)","('SSN-1019', 1.41)","('SSN-639', 1.41)","('SSN-2651', 1.41)","('SSN-2778', 1.41)","('SSN-1130', 1.41)","('SSN-3343', 1.41)","('SSN-1939', 1.41)","('SSN-171', 2.0)","('SSN-1819', 2.0)"
SSN-14,"('SSN-3029', 1.41)","('SSN-4', 1.41)","('SSN-1866', 1.41)","('SSN-2098', 1.41)","('SSN-451', 1.41)","('SSN-3330', 1.41)","('SSN-2832', 1.41)","('SSN-2814', 2.0)","('SSN-1171', 2.0)","('SSN-922', 2.0)"
SSN-15,"('SSN-3242', 1.41)","('SSN-1354', 1.41)","('SSN-654', 1.41)","('SSN-917', 2.0)","('SSN-1669', 2.0)","('SSN-3047', 2.0)","('SSN-3359', 2.0)","('SSN-3350', 2.0)","('SSN-2489', 2.0)","('SSN-2702', 2.0)"
SSN-16,"('SSN-2120', 1.41)","('SSN-2145', 1.41)","('SSN-1268', 2.0)","('SSN-1569', 2.0)","('SSN-2033', 2.0)","('SSN-2303', 2.0)","('SSN-447', 2.0)","('SSN-3339', 2.0)","('SSN-277', 2.0)","('SSN-2083', 2.0)"
SSN-17,"('SSN-128', 1.41)","('SSN-325', 1.41)","('SSN-1602', 1.41)","('SSN-432', 1.41)","('SSN-3338', 2.0)","('SSN-1922', 2.0)","('SSN-2255', 2.0)","('SSN-1224', 2.0)","('SSN-243', 2.0)","('SSN-1775', 2.0)"
SSN-18,"('SSN-2299', 1.41)","('SSN-2360', 1.41)","('SSN-281', 2.0)","('SSN-1792', 2.0)","('SSN-48', 2.0)","('SSN-2253', 2.0)","('SSN-2155', 2.0)","('SSN-1239', 2.0)","('SSN-2251', 2.0)","('SSN-1123', 2.0)"
SSN-19,"('SSN-1900', 1.41)","('SSN-1264', 2.0)","('SSN-2486', 2.0)","('SSN-1024', 2.0)","('SSN-2752', 2.0)","('SSN-3077', 2.0)","('SSN-2730', 2.0)","('SSN-1064', 2.0)","('SSN-534', 2.0)","('SSN-966', 2.0)"
SSN-20,"('SSN-3326', 1.41)","('SSN-3229', 1.41)","('SSN-1318', 2.0)","('SSN-2999', 2.0)","('SSN-218', 2.0)","('SSN-842', 2.0)","('SSN-2200', 2.0)","('SSN-2905', 2.0)","('SSN-1498', 2.0)","('SSN-2874', 2.0)"
SSN-21,"('SSN-1783', 1.41)","('SSN-1725', 1.41)","('SSN-1137', 2.0)","('SSN-362', 2.0)","('SSN-3379', 2.0)","('SSN-1956', 2.0)","('SSN-1693', 2.0)","('SSN-2281', 2.0)","('SSN-1126', 2.0)","('SSN-940', 2.0)"
