,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
Voter-ID-1,"('Voter-ID-916', 2.45)","('Voter-ID-420', 2.83)","('Voter-ID-2209', 3.16)","('Voter-ID-48', 3.16)","('Voter-ID-4046', 3.16)","('Voter-ID-1397', 3.16)","('Voter-ID-3713', 3.46)","('Voter-ID-410', 3.46)","('Voter-ID-3955', 3.46)","('Voter-ID-795', 3.46)"
Voter-ID-2,"('Voter-ID-1066', 2.45)","('Voter-ID-2511', 2.83)","('Voter-ID-4227', 2.83)","('Voter-ID-1337', 2.83)","('Voter-ID-1673', 3.16)","('Voter-ID-2137', 3.16)","('Voter-ID-4200', 3.46)","('Voter-ID-1530', 3.46)","('Voter-ID-4295', 3.46)","('Voter-ID-3110', 3.46)"
Voter-ID-3,"('Voter-ID-3929', 2.83)","('Voter-ID-2753', 2.83)","('Voter-ID-2300', 3.16)","('Voter-ID-2170', 3.16)","('Voter-ID-2044', 3.16)","('Voter-ID-298', 3.16)","('Voter-ID-2697', 3.16)","('Voter-ID-1890', 3.16)","('Voter-ID-2487', 3.46)","('Voter-ID-2704', 3.46)"
Voter-ID-4,"('Voter-ID-1617', 2.83)","('Voter-ID-2117', 2.83)","('Voter-ID-2445', 2.83)","('Voter-ID-2031', 2.83)","('Voter-ID-3350', 2.83)","('Voter-ID-2386', 2.83)","('Voter-ID-46', 2.83)","('Voter-ID-3129', 2.83)","('Voter-ID-3768', 2.83)","('Voter-ID-2797', 3.16)"
Voter-ID-5,"('Voter-ID-1543', 2.83)","('Voter-ID-2068', 2.83)","('Voter-ID-2047', 2.83)","('Voter-ID-699', 3.16)","('Voter-ID-1422', 3.16)","('Voter-ID-3115', 3.16)","('Voter-ID-3692', 3.46)","('Voter-ID-79', 3.46)","('Voter-ID-3277', 3.46)","('Voter-ID-1776', 3.46)"
Voter-ID-6,"('Voter-ID-750', 2.83)","('Voter-ID-263', 2.83)","('Voter-ID-2408', 3.16)","('Voter-ID-3051', 3.16)","('Voter-ID-1788', 3.46)","('Voter-ID-2210', 3.46)","('Voter-ID-2978', 3.46)","('Voter-ID-2032', 3.46)","('Voter-ID-1299', 3.46)","('Voter-ID-3078', 3.46)"
Voter-ID-7,"('Voter-ID-1959', 3.16)","('Voter-ID-3626', 3.16)","('Voter-ID-1454', 3.46)","('Voter-ID-145', 3.46)","('Voter-ID-3227', 3.46)","('Voter-ID-3919', 3.46)","('Voter-ID-4254', 3.46)","('Voter-ID-3089', 3.46)","('Voter-ID-462', 3.46)","('Voter-ID-3594', 3.46)"
Voter-ID-8,"('Voter-ID-2030', 2.45)","('Voter-ID-378', 2.83)","('Voter-ID-1932', 2.83)","('Voter-ID-2198', 2.83)","('Voter-ID-870', 3.16)","('Voter-ID-577', 3.16)","('Voter-ID-2521', 3.16)","('Voter-ID-617', 3.16)","('Voter-ID-1702', 3.16)","('Voter-ID-3383', 3.16)"
Voter-ID-9,"('Voter-ID-2090', 2.45)","('Voter-ID-3063', 3.16)","('Voter-ID-808', 3.16)","('Voter-ID-1301', 3.16)","('Voter-ID-2551', 3.16)","('Voter-ID-96', 3.16)","('Voter-ID-1615', 3.46)","('Voter-ID-3180', 3.46)","('Voter-ID-3035', 3.46)","('Voter-ID-2272', 3.46)"
Voter-ID-10,"('Voter-ID-969', 2.83)","('Voter-ID-2669', 3.16)","('Voter-ID-3048', 3.16)","('Voter-ID-462', 3.16)","('Voter-ID-3876', 3.16)","('Voter-ID-3394', 3.16)","('Voter-ID-3568', 3.16)","('Voter-ID-2454', 3.16)","('Voter-ID-3749', 3.16)","('Voter-ID-219', 3.16)"
Voter-ID-11,"('Voter-ID-2357', 3.16)","('Voter-ID-4041', 3.16)","('Voter-ID-3634', 3.16)","('Voter-ID-2154', 3.16)","('Voter-ID-2992', 3.16)","('Voter-ID-3811', 3.46)","('Voter-ID-2051', 3.46)","('Voter-ID-3271', 3.46)","('Voter-ID-3128', 3.46)","('Voter-ID-251', 3.46)"
Voter-ID-12,"('Voter-ID-3047', 2.83)","('Voter-ID-3968', 3.46)","('Voter-ID-1939', 3.46)","('Voter-ID-1010', 3.46)","('Voter-ID-3904', 3.46)","('Voter-ID-2310', 3.46)","('Voter-ID-2058', 3.46)","('Voter-ID-383', 3.46)","('Voter-ID-1975', 3.46)","('Voter-ID-2002', 3.46)"
Voter-ID-13,"('Voter-ID-3026', 2.83)","('Voter-ID-2017', 2.83)","('Voter-ID-2311', 2.83)","('Voter-ID-2637', 3.16)","('Voter-ID-2352', 3.16)","('Voter-ID-3907', 3.16)","('Voter-ID-3352', 3.16)","('Voter-ID-2262', 3.16)","('Voter-ID-3312', 3.16)","('Voter-ID-364', 3.16)"
Voter-ID-14,"('Voter-ID-1301', 2.0)","('Voter-ID-1388', 2.0)","('Voter-ID-648', 2.83)","('Voter-ID-3482', 2.83)","('Voter-ID-2936', 2.83)","('Voter-ID-34', 3.16)","('Voter-ID-3238', 3.16)","('Voter-ID-3799', 3.16)","('Voter-ID-2498', 3.16)","('Voter-ID-1018', 3.16)"
Voter-ID-15,"('Voter-ID-258', 2.83)","('Voter-ID-508', 3.16)","('Voter-ID-3527', 3.16)","('Voter-ID-716', 3.16)","('Voter-ID-4026', 3.46)","('Voter-ID-2941', 3.46)","('Voter-ID-3103', 3.46)","('Voter-ID-674', 3.46)","('Voter-ID-3191', 3.46)","('Voter-ID-775', 3.46)"
