,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
Zip-1,"('Zip-108', 2.0)","('Zip-5', 2.0)","('Zip-92', 2.0)","('Zip-41', 2.0)","('Zip-52', 2.45)","('Zip-135', 2.45)","('Zip-38', 2.45)","('Zip-39', 2.45)","('Zip-116', 2.45)","('Zip-23', 2.45)"
Zip-2,"('Zip-157', 2.0)","('Zip-120', 2.0)","('Zip-156', 2.0)","('Zip-33', 2.0)","('Zip-58', 2.0)","('Zip-3', 2.0)","('Zip-147', 2.45)","('Zip-158', 2.45)","('Zip-74', 2.45)","('Zip-78', 2.45)"
Zip-3,"('Zip-86', 2.0)","('Zip-125', 2.0)","('Zip-147', 2.0)","('Zip-114', 2.0)","('Zip-112', 2.0)","('Zip-2', 2.0)","('Zip-162', 2.0)","('Zip-126', 2.0)","('Zip-78', 2.0)","('Zip-1', 2.45)"
Zip-4,"('Zip-81', 2.0)","('Zip-59', 2.0)","('Zip-10', 2.0)","('Zip-159', 2.0)","('Zip-152', 2.0)","('Zip-100', 2.0)","('Zip-17', 2.0)","('Zip-106', 2.0)","('Zip-25', 2.45)","('Zip-203', 2.45)"
Zip-5,"('Zip-83', 2.0)","('Zip-91', 2.0)","('Zip-92', 2.0)","('Zip-46', 2.0)","('Zip-108', 2.0)","('Zip-1', 2.0)","('Zip-132', 2.45)","('Zip-36', 2.45)","('Zip-120', 2.45)","('Zip-147', 2.45)"
Zip-6,"('Zip-180', 1.41)","('Zip-214', 2.0)","('Zip-137', 2.0)","('Zip-78', 2.0)","('Zip-201', 2.0)","('Zip-146', 2.0)","('Zip-166', 2.0)","('Zip-51', 2.0)","('Zip-29', 2.0)","('Zip-106', 2.45)"
Zip-7,"('Zip-88', 2.0)","('Zip-34', 2.0)","('Zip-101', 2.0)","('Zip-183', 2.0)","('Zip-124', 2.0)","('Zip-69', 2.0)","('Zip-82', 2.0)","('Zip-196', 2.0)","('Zip-132', 2.0)","('Zip-73', 2.45)"
Zip-8,"('Zip-44', 2.0)","('Zip-151', 2.0)","('Zip-53', 2.0)","('Zip-85', 2.0)","('Zip-193', 2.0)","('Zip-9', 2.0)","('Zip-17', 2.45)","('Zip-171', 2.45)","('Zip-169', 2.45)","('Zip-11', 2.45)"
Zip-9,"('Zip-8', 2.0)","('Zip-151', 2.0)","('Zip-85', 2.0)","('Zip-53', 2.0)","('Zip-25', 2.45)","('Zip-100', 2.45)","('Zip-90', 2.45)","('Zip-193', 2.45)","('Zip-192', 2.45)","('Zip-44', 2.45)"
Zip-10,"('Zip-106', 2.0)","('Zip-17', 2.0)","('Zip-159', 2.0)","('Zip-152', 2.0)","('Zip-59', 2.0)","('Zip-205', 2.0)","('Zip-4', 2.0)","('Zip-100', 2.0)","('Zip-58', 2.45)","('Zip-68', 2.45)"
Zip-11,"('Zip-193', 2.0)","('Zip-96', 2.0)","('Zip-79', 2.0)","('Zip-165', 2.0)","('Zip-31', 2.0)","('Zip-25', 2.45)","('Zip-75', 2.45)","('Zip-24', 2.45)","('Zip-22', 2.45)","('Zip-169', 2.45)"
Zip-12,"('Zip-129', 1.41)","('Zip-70', 2.0)","('Zip-110', 2.0)","('Zip-28', 2.0)","('Zip-15', 2.0)","('Zip-122', 2.0)","('Zip-213', 2.0)","('Zip-181', 2.0)","('Zip-124', 2.0)","('Zip-45', 2.45)"
Zip-13,"('Zip-136', 2.0)","('Zip-35', 2.0)","('Zip-143', 2.0)","('Zip-131', 2.0)","('Zip-117', 2.0)","('Zip-168', 2.45)","('Zip-204', 2.45)","('Zip-50', 2.45)","('Zip-70', 2.45)","('Zip-27', 2.45)"
Zip-14,"('Zip-118', 2.0)","('Zip-213', 2.0)","('Zip-167', 2.0)","('Zip-191', 2.0)","('Zip-208', 2.0)","('Zip-84', 2.45)","('Zip-141', 2.45)","('Zip-41', 2.45)","('Zip-126', 2.45)","('Zip-23', 2.45)"
Zip-15,"('Zip-181', 2.0)","('Zip-124', 2.0)","('Zip-12', 2.0)","('Zip-28', 2.0)","('Zip-213', 2.0)","('Zip-208', 2.45)","('Zip-114', 2.45)","('Zip-129', 2.45)","('Zip-34', 2.45)","('Zip-97', 2.45)"
Zip-16,"('Zip-199', 2.0)","('Zip-66', 2.0)","('Zip-172', 2.0)","('Zip-102', 2.0)","('Zip-26', 2.0)","('Zip-57', 2.0)","('Zip-14', 2.45)","('Zip-53', 2.45)","('Zip-185', 2.45)","('Zip-20', 2.45)"
Zip-17,"('Zip-10', 2.0)","('Zip-152', 2.0)","('Zip-4', 2.0)","('Zip-100', 2.0)","('Zip-59', 2.0)","('Zip-106', 2.0)","('Zip-159', 2.0)","('Zip-21', 2.45)","('Zip-75', 2.45)","('Zip-79', 2.45)"
Zip-18,"('Zip-98', 2.0)","('Zip-37', 2.0)","('Zip-195', 2.0)","('Zip-196', 2.0)","('Zip-177', 2.0)","('Zip-191', 2.45)","('Zip-63', 2.45)","('Zip-91', 2.45)","('Zip-199', 2.45)","('Zip-1', 2.45)"
Zip-19,"('Zip-174', 2.0)","('Zip-194', 2.0)","('Zip-186', 2.0)","('Zip-47', 2.0)","('Zip-48', 2.0)","('Zip-94', 2.0)","('Zip-130', 2.0)","('Zip-150', 2.0)","('Zip-37', 2.45)","('Zip-136', 2.45)"
Zip-20,"('Zip-115', 2.0)","('Zip-75', 2.0)","('Zip-50', 2.0)","('Zip-60', 2.0)","('Zip-23', 2.45)","('Zip-135', 2.45)","('Zip-55', 2.45)","('Zip-169', 2.45)","('Zip-172', 2.45)","('Zip-57', 2.45)"
Zip-21,"('Zip-61', 2.0)","('Zip-133', 2.0)","('Zip-169', 2.0)","('Zip-90', 2.0)","('Zip-188', 2.0)","('Zip-204', 2.0)","('Zip-100', 2.45)","('Zip-106', 2.45)","('Zip-111', 2.45)","('Zip-112', 2.45)"
Zip-22,"('Zip-207', 2.0)","('Zip-109', 2.0)","('Zip-56', 2.0)","('Zip-164', 2.0)","('Zip-144', 2.0)","('Zip-121', 2.0)","('Zip-149', 2.0)","('Zip-60', 2.45)","('Zip-62', 2.45)","('Zip-50', 2.45)"
Zip-23,"('Zip-115', 1.41)","('Zip-84', 1.41)","('Zip-41', 2.0)","('Zip-39', 2.0)","('Zip-110', 2.0)","('Zip-38', 2.0)","('Zip-129', 2.45)","('Zip-20', 2.45)","('Zip-75', 2.45)","('Zip-183', 2.45)"
Zip-24,"('Zip-96', 2.0)","('Zip-44', 2.0)","('Zip-79', 2.45)","('Zip-31', 2.45)","('Zip-33', 2.45)","('Zip-169', 2.45)","('Zip-171', 2.45)","('Zip-178', 2.45)","('Zip-39', 2.45)","('Zip-193', 2.45)"
